Time,Source_IP,Destination_IP,Protocol,Source_Port,Destination_Port,Length,Flags,HTTP_Info
1755886913.38478,192.168.2.37,239.255.255.250,UDP,42654,1900,517,,
1755886913.38478,192.168.2.37,239.255.255.250,UDP,42654,1900,517,,
1755886913.485667,192.168.2.91,239.255.255.250,UDP,42303,1900,510,,
1755886913.486619,192.168.2.91,239.255.255.250,UDP,42303,1900,526,,
1755886913.488672,192.168.2.91,239.255.255.250,UDP,42303,1900,510,,
1755886913.488672,192.168.2.91,239.255.255.250,UDP,42303,1900,526,,
1755886913.576357,192.168.0.164,20.42.65.84,TCP,52582,443,78,FPA,
1755886914.090956,192.168.0.164,104.18.32.47,TCP,54589,443,55,A,
1755886914.123789,104.18.32.47,192.168.0.164,TCP,443,54589,66,A,
1755886914.349158,192.168.0.164,150.171.22.12,UDP,62272,443,77,,
1755886914.35744,150.171.22.12,192.168.0.164,UDP,443,62272,89,,
1755886914.363499,192.168.0.164,150.171.22.12,UDP,62272,443,81,,
1755886914.386824,150.171.22.12,192.168.0.164,UDP,443,62272,69,,
1755886914.508867,192.168.0.149,224.0.0.251,UDP,5353,5353,119,,
1755886914.918892,192.168.0.1,192.168.0.255,UDP,31432,20002,369,,
1755886915.536233,142.250.70.74,192.168.0.164,UDP,443,62569,120,,
1755886915.559142,192.168.0.164,142.250.70.74,UDP,62569,443,75,,
1755886915.739256,192.168.0.164,142.250.70.74,UDP,62569,443,71,,
1755886915.772819,142.250.70.74,192.168.0.164,UDP,443,62569,67,,
1755886915.961829,192.168.0.164,20.42.65.84,TCP,52582,443,78,FPA,
1755886915.97858,192.168.0.164,142.250.70.74,UDP,62569,443,71,,
1755886916.01095,142.250.70.74,192.168.0.164,UDP,443,62569,67,,
1755886916.183545,192.168.0.164,35.190.80.1,TCP,62751,443,55,A,
1755886916.189754,192.168.0.164,8.8.4.4,UDP,49665,443,1292,,
1755886916.215196,192.168.0.164,142.250.70.74,UDP,62569,443,71,,
1755886916.215285,8.8.4.4,192.168.0.164,UDP,443,49665,1292,,
1755886916.215837,192.168.0.164,8.8.4.4,UDP,49665,443,441,,
1755886916.242125,8.8.4.4,192.168.0.164,UDP,443,49665,636,,
1755886916.242125,8.8.4.4,192.168.0.164,UDP,443,49665,64,,
1755886916.242722,192.168.0.164,8.8.4.4,UDP,49665,443,77,,
1755886916.24485,8.8.4.4,192.168.0.164,UDP,443,49665,574,,
1755886916.24485,8.8.4.4,192.168.0.164,UDP,443,49665,64,,
1755886916.245184,192.168.0.164,8.8.4.4,UDP,49665,443,77,,
1755886916.246715,192.168.0.164,142.251.220.37,TCP,53381,443,66,S,
1755886916.246864,142.250.70.74,192.168.0.164,UDP,443,62569,67,,
1755886916.270798,8.8.4.4,192.168.0.164,UDP,443,49665,65,,
1755886916.271648,192.168.0.164,8.8.4.4,UDP,49665,443,73,,
1755886916.272184,142.251.220.37,192.168.0.164,TCP,443,53381,66,SA,
1755886916.272368,192.168.0.164,142.251.220.37,TCP,53381,443,54,A,
1755886916.273785,192.168.0.164,142.251.220.37,TCP,53381,443,2266,PA,
1755886916.299832,142.251.220.37,192.168.0.164,TCP,443,53381,54,A,
1755886916.299832,142.251.220.37,192.168.0.164,TCP,443,53381,54,A,
1755886916.359297,142.251.220.37,192.168.0.164,TCP,443,53381,1466,A,
1755886916.359297,142.251.220.37,192.168.0.164,TCP,443,53381,106,PA,
1755886916.359461,192.168.0.164,142.251.220.37,TCP,53381,443,54,A,
1755886916.360645,192.168.0.164,142.251.220.37,TCP,53381,443,128,PA,
1755886916.36097,192.168.0.164,142.251.220.37,TCP,53381,443,146,PA,
1755886916.361491,192.168.0.164,142.251.220.37,TCP,53381,443,5106,PA,
1755886916.361602,192.168.0.164,142.251.220.37,TCP,53381,443,165,PA,
1755886916.384949,142.251.220.37,192.168.0.164,TCP,443,53381,54,A,
